Table,Field,Type,Description
EmailDistributionListContacts,Email,String (max=200),Courriel du contact
EmailDistributionListContacts,CMPRainfallSeasonal,Boolean,Pluie Saisonnière PGC
EmailDistributionListContacts,CMPWastewater,Boolean,Eaux usées PGC
EmailDistributionListContacts,EmergencyWeather,Boolean,Pluie Urgence
EmailDistributionListContacts,EmergencyWastewater,Boolean,Eaux Usées Urgence
EmailDistributionListContacts,ReopeningAllTypes,Boolean,Réouverture Tous Types
EmailDistributionListContacts,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
EmailDistributionListContacts,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
EmailDistributionListContactLanguages,,,La table EmailDistributionListContactLanguages contient des champs pour contenir les textes bilingues de la table EmailDistributionListContacts.
EmailDistributionListContactLanguages,EmailDistributionListContactLanguageID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table EmailDistributionListContactLanguages
EmailDistributionListContactLanguages,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
EmailDistributionListContactLanguages,EmailDistributionListContactID,Int32,Lien à la table EmailDistributionListContact représentant la liste de distribution des courriels contact
EmailDistributionListContactLanguages,Language,LanguageEnum (int),Langage de l'item
EmailDistributionListContactLanguages,Agency,String (min=1) (max=100),Agence
EmailDistributionListContactLanguages,TranslationStatus,TranslationStatusEnum (int),Le statut de la traduction du nom de l'agence
EmailDistributionListContactLanguages,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
EmailDistributionListContactLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
EmailDistributionListLanguages,,,La table EmailDistributionListLanguages contient des champs permettant de stocker des textes bilingues d'EmailDistributionLists.
EmailDistributionListLanguages,EmailDistributionListLanguageID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table EmailDistributionListLanguages
EmailDistributionListLanguages,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
EmailDistributionListLanguages,EmailDistributionListID,Int32,Lien à la table EmailDistributionList représentant la liste de distribution des courriels
EmailDistributionListLanguages,Language,LanguageEnum (int),Langage de l'item
EmailDistributionListLanguages,EmailListName,String (min=1) (max=100),Nom de la liste de courriel
EmailDistributionListLanguages,TranslationStatus,TranslationStatusEnum (int),Le statut de la traduction du nom de la région
EmailDistributionListLanguages,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
EmailDistributionListLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
HelpDocs,,,La table HelpDocs contient des champs pour contenir les informations d'aide utilisées dans certaines applications. Surtout le Web.
HelpDocs,HelpDocID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table HelpDocs
HelpDocs,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
HelpDocs,DocKey,String (max=100),Identifiant du document aide
HelpDocs,Language,LanguageEnum (int),Langage du document aide
HelpDocs,DocHTMLText,String (max=100000),Texte HTML du document help
HelpDocs,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
HelpDocs,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
HydrometricDataValues,,,La table HydrometricDataValues contient des champs permettant de conserver les valeurs de données hydrométriques pour divers sites hydrométriques du Service hydrométrique du Canada.
HydrometricDataValues,HydrometricDataValueID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table HydrometricDataValues
HydrometricDataValues,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
HydrometricDataValues,HydrometricSiteID,Int32,Lien au parent CydrometricSite à l'item de la table HydrometricSites
HydrometricDataValues,DateTime_Local,DateTime,Date et temps de l'observation. Pratiquement tous les données proviennent de site web water office
HydrometricDataValues,Keep,Boolean,Conservez les données dans la base de données. Parfois, la base de données peut obtenir des données du site Web du bureau hydrométrique en tant que données temporaires pouvant être supprimées ultérieurement.
HydrometricDataValues,StorageDataType,StorageDataTypeEnum (int),Type de données sauvegardez peut être archivés, prévisions ou observés
HydrometricDataValues,HasBeenRead,Boolean,Les données stockées ont été lues sur le site Web du bureau météorologique
HydrometricDataValues,Discharge_m3_s,Double (min=0) (max=100000),Débits en mètres cube par second
HydrometricDataValues,DischargeEntered_m3_s,Double (min=0) (max=100000),Débits entrés en mètres cube par second
HydrometricDataValues,Level_m,Double (min=0) (max=10000),Niveaux en meters
HydrometricDataValues,HourlyValues,String,Texte contenant les valeurs horaires
HydrometricDataValues,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
HydrometricDataValues,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
HydrometricSites,,,La table HydrometricSites contient des champs pour contenir des informations sur les sites hydrométriques du Service hydrométrique du Canada ainsi que certains sites hydrométriques provinciaux.
HydrometricSites,HydrometricSiteID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table HydrometricSites
HydrometricSites,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
HydrometricSites,HydrometricSiteTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
HydrometricSites,FedSiteNumber,String (max=7),Numéro de site fédéral
HydrometricSites,QuebecSiteNumber,String (max=7),Numéro de site du Québec
HydrometricSites,HydrometricSiteName,String (max=200),Nom du site hydrométrique
HydrometricSites,Description,String (max=200),Description du site hydrométrique
HydrometricSites,Province,String (max=4),Province (4 charactères)
HydrometricSites,Elevation_m,Double (min=0) (max=10000),Élévation du site en mètres au dessus du niveau moyen de la mer
HydrometricSites,StartDate_Local,DateTime,Date de début de monitoring
HydrometricSites,EndDate_Local,DateTime,Date de fin de monitoring
HydrometricSites,TimeOffset_hour,Double (min=-10) (max=0),Décalage horaire en heure (décimal)
HydrometricSites,DrainageArea_km2,Double (min=0) (max=1000000),Bassin versant en kilomètres carrés
HydrometricSites,IsNatural,Boolean,Régime naturel
HydrometricSites,IsActive,Boolean,Est maintenant active
HydrometricSites,Sediment,Boolean,Données sur les sédiments disponibles
HydrometricSites,RHBN,Boolean,Réseau hydrométrique de référence
HydrometricSites,RealTime,Boolean,Données en temps réel disponibles
HydrometricSites,HasDischarge,Boolean,Mesure débits
HydrometricSites,HasLevel,Boolean,Mesure niveaux
HydrometricSites,HasRatingCurve,Boolean,Courbe de tarage
HydrometricSites,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
HydrometricSites,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
Infrastructures,,,La table Infrastructures contient des champs pour contenir toutes les informations relatives aux infrastructures municipales. Les informations relatives à la STEP et au LS sont stockées dans la même table.
Infrastructures,InfrastructureID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Infrastructures
Infrastructures,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Infrastructures,InfrastructureTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
Infrastructures,PrismID,Int32 (min=0) (max=100000),Lien à la BD Prism QC avec l'identifiant unique
Infrastructures,TPID,Int32 (min=0) (max=100000),Identifiant unique de usine de traitement des eaux usées de la vieille base de données
Infrastructures,LSID,Int32 (min=0) (max=100000),Identifiant unique de poste de pompage de la vieille base de données
Infrastructures,SiteID,Int32 (min=0) (max=100000),Identifiant unique du site de la vieille base de données
Infrastructures,Site,Int32 (min=0) (max=100000),Identifiant unique du site de la vieille base de données
Infrastructures,InfrastructureCategory,String (min=1) (max=1),Catégory --- lettre utilisé précédement pour identifier la priorité des évaluations de systèmes de traitement des eaux
Infrastructures,InfrastructureType,InfrastructureTypeEnum (int),Type d'infrastructure
Infrastructures,FacilityType,FacilityTypeEnum (int),Type de facilité --- Lagune, Usine
Infrastructures,HasBackupPower,Boolean,A une alimentation de secours
Infrastructures,IsMechanicallyAerated,Boolean,Est mécaniquement aéré
Infrastructures,NumberOfCells,Int32 (min=0) (max=10),Nombre de cellules
Infrastructures,NumberOfAeratedCells,Int32 (min=0) (max=10),Nombre de cellules aérées
Infrastructures,AerationType,AerationTypeEnum (int),Type d'aération --- Diffuseur, Surface
Infrastructures,PreliminaryTreatmentType,PreliminaryTreatmentTypeEnum (int),Type de traintement préliminaire --- Bar screen, Grinder (fr)
Infrastructures,PrimaryTreatmentType,PrimaryTreatmentTypeEnum (int),Type de traitement primaire --- Sedimentation, Chemical Coagulation, Filtration (fr)
Infrastructures,SecondaryTreatmentType,SecondaryTreatmentTypeEnum (int),Type de traitement secondaire --- RotatingBiologicalContactor, TricklingFilters, SequencingBatchReator, OxidationDitch (fr)
Infrastructures,TertiaryTreatmentType,TertiaryTreatmentTypeEnum (int),Type de traitement tertiaire --- Adsorption, Flocculation, Membrane Filtration, Ion Exchange, Reverse Osmosis, Biological Nutrient Removal (fr)
Infrastructures,TreatmentType,TreatmentTypeEnum (int),Type de traitement --- ActivatedSludge, Activated Sludge With Biofilter, Lagoon No Aeration1 Cell, Lagoon No Aeration 2 Cell, Lagoon No Aeration 3 Cell, Lagoon No Aeration 4 Cell, Lagoon No Aeration 5 Cell, Lagoon With Aeration 1 Cell, LagoonWith Aeration 2 Cell, LagoonWith Aeration 3 Cell, LagoonWith Aeration 4 Cell, LagoonWith Aeration 5 Cell, LagoonWith Aeration 6 Cell, Stabalizing Pond Only, Oxidation Ditch Only, Circulating Fluidized Bed, Trickling Filter, Recirculating Sand Filter, Trash Rack Rake Only, Septic Tank, Secondary, Tertiary, Volume Fermenter, Bio Film Reactor, Bio Green, Bio Disks, Chemical Primary, Chromoglass, Primary, Sequencing Batch Reactor, Peat System, Physicochimique, Rotating Biological Contactor (fr)
Infrastructures,DisinfectionType,DisinfectionTypeEnum (int),Type de désinfection --- UV, Chlorination No Dechlorination, Chlorination With Dechlorination, UV Seasonal, Chlorination No Dechlorination Seasonal, Chlorination With Dechlorination Seasonal (fr)
Infrastructures,CollectionSystemType,CollectionSystemTypeEnum (int),Type de système de collection --- Completely Separated, Completely Combined, Combined 90 Separated 10, Combined 80 Separated 20, Combined 70 Separated 30, Combined 60 Separated 40, Combined 50 Separated 50, Combined 40 Separated 60, Combined 30 Separated 70, Combined 20 Separated 80, Combined 10 Separated 90 (fr)
Infrastructures,AlarmSystemType,AlarmSystemTypeEnum (int),Type de système d'alarme --- SCADA, None, Only Visual Light,SCADA And Light, Pager And Light (fr)
Infrastructures,DesignFlow_m3_day,Double (min=0) (max=1000000),Débit de design en mètres cube par jour
Infrastructures,AverageFlow_m3_day,Double (min=0) (max=1000000),Débit moyen en mètres cube par jour
Infrastructures,PeakFlow_m3_day,Double (min=0) (max=1000000),Débit maximum en mètres cube par jour
Infrastructures,PopServed,Int32 (min=0) (max=1000000),Population déservi
Infrastructures,CanOverflow,Boolean,Peut déverser
Infrastructures,ValveType,ValveTypeEnum (int),Type de vanne --- Manually, Automatically (fr)
Infrastructures,PercFlowOfTotal,Double (min=0) (max=100),Pourcentage du débit total
Infrastructures,TimeOffset_hour,Double (min=-10) (max=0),Décalage horaire en heure (décimal)
Infrastructures,TempCatchAllRemoveLater,String,Temporaire collection d'information a être effacé plus tard
Infrastructures,AverageDepth_m,Double (min=0) (max=1000),Profondeur moyenne en mètres
Infrastructures,NumberOfPorts,Int32 (min=1) (max=1000),Nombre d'embouchure
Infrastructures,PortDiameter_m,Double (min=0) (max=10),Diamètre des embouchures en mètres
Infrastructures,PortSpacing_m,Double (min=0) (max=10000),Distance des embouchures en mètres
Infrastructures,PortElevation_m,Double (min=0) (max=1000),Élévation des embouchures en mètres
Infrastructures,VerticalAngle_deg,Double (min=-90) (max=90),Angle vertical en dégrés
Infrastructures,HorizontalAngle_deg,Double (min=-180) (max=180),Angle horizontal en dégrés
Infrastructures,DecayRate_per_day,Double (min=0) (max=100),Taux de décroissance par jour
Infrastructures,NearFieldVelocity_m_s,Double (min=0) (max=10),Vitesse en champ rapproché en mètres par second
Infrastructures,FarFieldVelocity_m_s,Double (min=0) (max=10),Vitesse en champ éloigné en mètres par second
Infrastructures,ReceivingWaterSalinity_PSU,Double (min=0) (max=40),Salinité dans le milieu récepteur en PSU
Infrastructures,ReceivingWaterTemperature_C,Double (min=-10) (max=40),Température dans le milieu récepteur en dégrés Celcius
Infrastructures,ReceivingWater_MPN_per_100ml,Int32 (min=0) (max=10000000),Concentration dans le milieu récepteur en nombre plus probable par 100 mL
Infrastructures,DistanceFromShore_m,Double (min=0) (max=1000),Distance par rapport à la rive en mètres
Infrastructures,SeeOtherMunicipalityTVItemID,Int32,Voir autre infrastructure
Infrastructures,CivicAddressTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
Infrastructures,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Infrastructures,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
InfrastructureLanguages,,,La table InfrastructureLanguages contient des champs permettant de stocker des textes bilingues pour la table d'infrastructure.
InfrastructureLanguages,InfrastructureLanguageID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table InfrastructureLanguages
InfrastructureLanguages,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
InfrastructureLanguages,InfrastructureID,Int32,Lien à la table Infrastructure représentant l'infrastructure
InfrastructureLanguages,Language,LanguageEnum (int),Langage de l'item
InfrastructureLanguages,Comment,String,Commentaire
InfrastructureLanguages,TranslationStatus,TranslationStatusEnum (int),Le statut de la traduction du commentaire
InfrastructureLanguages,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
InfrastructureLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
LabSheets,,,La table LabSheets contient des champs pour stocker et gérer les feuilles de laboratoire.
LabSheets,LabSheetID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table LabSheets
LabSheets,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
LabSheets,OtherServerLabSheetID,Int32 (min=1),ID de la feuille de laboratoire de l'autre server
LabSheets,SamplingPlanID,Int32,Lien à la table SamplingPlan représentant le plan d'échantillonnage
LabSheets,SamplingPlanName,String (min=1) (max=250),Nom du plan d'échantillonnage
LabSheets,Year,Int32 (min=1980),Année de la tournée
LabSheets,Month,Int32 (min=1) (max=12),Mois de la tournée
LabSheets,Day,Int32 (min=1) (max=31),Jour de la tournée
LabSheets,RunNumber,Int32 (min=1) (max=100),Numéro de la tournée
LabSheets,SubsectorTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
LabSheets,MWQMRunTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
LabSheets,SamplingPlanType,SamplingPlanTypeEnum (int),Type de plan d'échantillonnage
LabSheets,SampleType,SampleTypeEnum (int),Type d'échantillonnage
LabSheets,LabSheetType,LabSheetTypeEnum (int),Type de feuille de laboratoire
LabSheets,LabSheetStatus,LabSheetStatusEnum (int),État de la feuille de laboratoire
LabSheets,FileName,String (min=1) (max=250),Nom de la filière
LabSheets,FileLastModifiedDate_Local,DateTime,Date du dernier changement de la filière (local)
LabSheets,FileContent,String,Contenu de la filière
LabSheets,AcceptedOrRejectedByContactTVItemID,Int32,Accepté ou rejeté par contact TVItemID
LabSheets,AcceptedOrRejectedDateTime,DateTime,Date de l'acceptation ou rejet (local)
LabSheets,RejectReason,String (max=250),Raison du rejet
LabSheets,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
LabSheets,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
LabSheetDetails,,,La table LabSheetDetails contient des champs pour contenir les informations relatives aux détails de la feuille de laboratoire.
LabSheetDetails,LabSheetDetailID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table LabSheetDetails
LabSheetDetails,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
LabSheetDetails,LabSheetID,Int32,Lien à la table LabSheets représentant la feuille de laboratoire
LabSheetDetails,SamplingPlanID,Int32,Lien à la table SamplingPlan représentant la plan d'échantillonnage
LabSheetDetails,SubsectorTVItemID,Int32,Lien à la table TVItem représentant la sous-secteur
LabSheetDetails,Version,Int32 (min=1) (max=5),Version du document (feuille de laboratoire)
LabSheetDetails,RunDate,DateTime,Date de la tournée
LabSheetDetails,Tides,String (min=1) (max=7),ID des site de marées
LabSheetDetails,SampleCrewInitials,String (max=20),Initiales des contacts faisant l'échantillonnage
LabSheetDetails,WaterBathCount,Int32 (min=1) (max=3),Nombre de bain d'eau
LabSheetDetails,IncubationBath1StartTime,DateTime,Temps de départ bain d'incubation 1
LabSheetDetails,IncubationBath2StartTime,DateTime,Temps de départ bain d'incubation 2
LabSheetDetails,IncubationBath3StartTime,DateTime,Temps de départ bain d'incubation 3
LabSheetDetails,IncubationBath1EndTime,DateTime,Temps de fin bain d'incubation 1
LabSheetDetails,IncubationBath2EndTime,DateTime,Temps de fin bain d'incubation 2
LabSheetDetails,IncubationBath3EndTime,DateTime,Temps de fin bain d'incubation 3
LabSheetDetails,IncubationBath1TimeCalculated_minutes,Int32 (min=0) (max=10000),Temps calculé de bain d'incubation 1 en minutes
LabSheetDetails,IncubationBath2TimeCalculated_minutes,Int32 (min=0) (max=10000),Temps calculé de bain d'incubation 2 en minutes
LabSheetDetails,IncubationBath3TimeCalculated_minutes,Int32 (min=0) (max=10000),Temps calculé de bain d'incubation 3 en minutes
LabSheetDetails,WaterBath1,String (max=10),Bain d'eau 1
LabSheetDetails,WaterBath2,String (max=10),Bain d'eau 2
LabSheetDetails,WaterBath3,String (max=10),Bain d'eau 3
LabSheetDetails,TCField1,Double (min=-10) (max=40),Température de control 1
LabSheetDetails,TCLab1,Double (min=-10) (max=40),Température de control au laboratoire 1
LabSheetDetails,TCField2,Double (min=-10) (max=40),Température de control 2
LabSheetDetails,TCLab2,Double (min=-10) (max=40),Température de control au laboratoire 2
LabSheetDetails,TCFirst,Double (min=-10) (max=40),Première température de control
LabSheetDetails,TCAverage,Double (min=-10) (max=40),Moyenne de température de control
LabSheetDetails,ControlLot,String (max=100),Lot de contrôle
LabSheetDetails,Positive35,String (min=1) (max=1),Positive 35 (°C)
LabSheetDetails,NonTarget35,String (min=1) (max=1),Non target 35 (°C)
LabSheetDetails,Negative35,String (min=1) (max=1),Negative 35 (°C)
LabSheetDetails,Bath1Positive44_5,String (min=1) (max=1),Bath 1 positive 44.5 (°C)
LabSheetDetails,Bath2Positive44_5,String (min=1) (max=1),Bath 2 positive 44.5 (°C)
LabSheetDetails,Bath3Positive44_5,String (min=1) (max=1),Bath 3 positive 44.5 (°C)
LabSheetDetails,Bath1NonTarget44_5,String (min=1) (max=1),Bath 1 non target 44.5 (°C)
LabSheetDetails,Bath2NonTarget44_5,String (min=1) (max=1),Bath 2 non target 44.5 (°C)
LabSheetDetails,Bath3NonTarget44_5,String (min=1) (max=1),Bath 3 non target 44.5 (°C)
LabSheetDetails,Bath1Negative44_5,String (min=1) (max=1),Bath 1 negative 44.5 (°C)
LabSheetDetails,Bath2Negative44_5,String (min=1) (max=1),Bath 2 negative 44.5 (°C)
LabSheetDetails,Bath3Negative44_5,String (min=1) (max=1),Bath 3 negative 44.5 (°C)
LabSheetDetails,Blank35,String (min=1) (max=1),Blank 35 (°C)
LabSheetDetails,Bath1Blank44_5,String (min=1) (max=1),Bath 1 blank 44.5 (°C)
LabSheetDetails,Bath2Blank44_5,String (min=1) (max=1),Bath 2 blank 44.5 (°C)
LabSheetDetails,Bath3Blank44_5,String (min=1) (max=1),Bath 3 blank 44.5 (°C)
LabSheetDetails,Lot35,String (max=20),Lot 35 (°C)
LabSheetDetails,Lot44_5,String (max=20),Lot 44.5 (°C)
LabSheetDetails,Weather,String (max=250),Météo
LabSheetDetails,RunComment,String (max=250),Commentaire de tourée
LabSheetDetails,RunWeatherComment,String (max=250),Commentaire de tourée météo
LabSheetDetails,SampleBottleLotNumber,String (max=20),Numéro de lot des bouteille d'échantillonnage
LabSheetDetails,SalinitiesReadBy,String (max=20),Salinité lu par
LabSheetDetails,SalinitiesReadDate,DateTime,Date de lecture de salinité
LabSheetDetails,ResultsReadBy,String (max=20),Résultats lu par
LabSheetDetails,ResultsReadDate,DateTime,Date de lecture des résultats
LabSheetDetails,ResultsRecordedBy,String (max=20),Résultats enregistrés par
LabSheetDetails,ResultsRecordedDate,DateTime,Date de d'enregistrement des résultats
LabSheetDetails,DailyDuplicateRLog,Double (min=0) (max=100),R Log du duplicata du la tournée
LabSheetDetails,DailyDuplicatePrecisionCriteria,Double (min=0) (max=100),Critère de précision du duplicata du la tournée
LabSheetDetails,DailyDuplicateAcceptable,Boolean,Duplicata du la tournée est acceptable
LabSheetDetails,IntertechDuplicateRLog,Double (min=0) (max=100),R Log du duplicata intertech
LabSheetDetails,IntertechDuplicatePrecisionCriteria,Double (min=0) (max=100),Critère de précision du duplicata intertech
LabSheetDetails,IntertechDuplicateAcceptable,Boolean,Duplicata intertech est acceptable
LabSheetDetails,IntertechReadAcceptable,Boolean,Lecture intertech est acceptable
LabSheetDetails,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
LabSheetDetails,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
LabSheetTubeMPNDetails,,,La table LabSheetTubeMPNDetails contient des champs pour contenir les informations sur les tubes de laboratoire.
LabSheetTubeMPNDetails,LabSheetTubeMPNDetailID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table LabSheetTubeMPNDetails
LabSheetTubeMPNDetails,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
LabSheetTubeMPNDetails,LabSheetDetailID,Int32,Lien à la table LabSheetDetails représentant les détail de laboratoire
LabSheetTubeMPNDetails,Ordinal,Int32 (min=0) (max=1000),Ordre
LabSheetTubeMPNDetails,MWQMSiteTVItemID,Int32,Lien à la table TVItems représentant le site de MWQM (fr)
LabSheetTubeMPNDetails,SampleDateTime,DateTime,Date de la tournée
LabSheetTubeMPNDetails,MPN,Int32 (min=1) (max=10000000),Nombre le plus probable de colonies de coliform fécaux par 100 mL
LabSheetTubeMPNDetails,Tube10,Int32 (min=0) (max=5),Nombre de tube positif pour Tube 10
LabSheetTubeMPNDetails,Tube1_0,Int32 (min=0) (max=5),Nombre de tube positif pour Tube 1
LabSheetTubeMPNDetails,Tube0_1,Int32 (min=0) (max=5),Nombre de tube positif pour Tube .1
LabSheetTubeMPNDetails,Salinity,Double (min=0) (max=40),Salinité en parties par millier
LabSheetTubeMPNDetails,Temperature,Double (min=-10) (max=40),Température en dégré Celcius
LabSheetTubeMPNDetails,ProcessedBy,String (max=10),Traité par
LabSheetTubeMPNDetails,SampleType,SampleTypeEnum (int),Type d'échantillon
LabSheetTubeMPNDetails,SiteComment,String (max=250),Commentaire relié au site
LabSheetTubeMPNDetails,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
LabSheetTubeMPNDetails,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
Logs,,,La table Logs est utilisée pour conserver un historique des commandes des utilisateurs vers la base de données.
Logs,LogID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Logs
Logs,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Logs,TableName,String (max=50),Nom de la table
Logs,ID,Int32 (min=1),Clef de la table
Logs,LogCommand,LogCommandEnum (int),Command log
Logs,Information,String,Information décrivant la command log
Logs,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Logs,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
MapInfos,,,La table MapInfos contient des champs pour contenir les informations relatives au mappage pour tous les objets de la base de données.
MapInfos,MapInfoID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table MapInfos
MapInfos,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
MapInfos,TVItemID,Int32,Lien à la table TVItems représentant l'item
MapInfos,TVType,TVTypeEnum (int),Type de l'arbre visuel
MapInfos,LatMin,Double (min=-90) (max=90),Latitude minimum
MapInfos,LatMax,Double (min=-90) (max=90),Latitude maximum
MapInfos,LngMin,Double (min=-180) (max=180),Longitude minimum
MapInfos,LngMax,Double (min=-180) (max=180),Longitude maximum
MapInfos,MapInfoDrawType,MapInfoDrawTypeEnum (int),Type d'object pour carte
MapInfos,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
MapInfos,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
MapInfoPoints,,,La table MapInfoPoints contient des champs pour contenir les informations relatives aux coordonnées de mappage.
MapInfoPoints,MapInfoPointID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table MapInfoPoints
MapInfoPoints,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
MapInfoPoints,MapInfoID,Int32,Lien à la table MapInfos représentant l'information de carte
MapInfoPoints,Ordinal,Int32 (min=0),Ordre
MapInfoPoints,Lat,Double (min=-90) (max=90),Latitude
MapInfoPoints,Lng,Double (min=-180) (max=180),Longitude
MapInfoPoints,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
MapInfoPoints,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
MikeBoundaryConditions,,,La table MikeBoundaryConditions contient des champs pour contenir les informations relatives aux conditions aux limites MIKE.
MikeBoundaryConditions,MikeBoundaryConditionID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table MikeBoundaryConditions
MikeBoundaryConditions,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
MikeBoundaryConditions,MikeBoundaryConditionTVItemID,Int32,Lien à la table TVItems représentant les conditions limits MIKE
MikeBoundaryConditions,MikeBoundaryConditionCode,String (max=100),Code de conditions limits MIKE
MikeBoundaryConditions,MikeBoundaryConditionName,String (max=100),Nom de conditions limits MIKE
MikeBoundaryConditions,MikeBoundaryConditionLength_m,Double (min=1) (max=100000),Longueur de conditions limits MIKE en mètres
MikeBoundaryConditions,MikeBoundaryConditionFormat,String (max=100),Format de conditions limits MIKE
MikeBoundaryConditions,MikeBoundaryConditionLevelOrVelocity,MikeBoundaryConditionLevelOrVelocityEnum (int),Niveau ou vélocité de conditions limits MIKE
MikeBoundaryConditions,WebTideDataSet,WebTideDataSetEnum (int),Donnée web tide
MikeBoundaryConditions,NumberOfWebTideNodes,Int32 (min=0) (max=1000),Nombre de noeux de web tide
MikeBoundaryConditions,WebTideDataFromStartToEndDate,String,Données web tide entre les dates
MikeBoundaryConditions,TVType,TVTypeEnum (int),Type d'arbre visuel
MikeBoundaryConditions,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
MikeBoundaryConditions,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
MikeScenarios,,,La table MikeScenarios contient des champs permettant de conserver et de gérer les scénarios MIKE.
MikeScenarios,MikeScenarioID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table MikeScenarios
MikeScenarios,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
MikeScenarios,MikeScenarioTVItemID,Int32,Lien à la table TVItems représentant le scénario MIKE
MikeScenarios,ParentMikeScenarioID,Int32,Lien à la table MIkeScenarios représentant le scénario MIKE
MikeScenarios,ScenarioStatus,ScenarioStatusEnum (int),État du scenario MIKE
MikeScenarios,ErrorInfo,String,Information de l'erreur du scenario MIKE
MikeScenarios,MikeScenarioStartDateTime_Local,DateTime,Date de départ du scenario MIKE en temps local
MikeScenarios,MikeScenarioEndDateTime_Local,DateTime,Date de fin du scenario MIKE en temps local
