Table,Field,Type,Description
HydrometricSites,FedSiteNumber,String (max=7),Federal site number
HydrometricSites,QuebecSiteNumber,String (max=7),Quebec site number
HydrometricSites,HydrometricSiteName,String (max=200),Hydrometric site name
HydrometricSites,Description,String (max=200),Hydrometric site description
HydrometricSites,Province,String (max=4),Province (4 characters)
HydrometricSites,Elevation_m,Double (min=0) (max=10000),Site Elevation in meters above mean sea level
HydrometricSites,StartDate_Local,DateTime,Data collection start date
HydrometricSites,EndDate_Local,DateTime,Data collection end date
HydrometricSites,TimeOffset_hour,Double (min=-10) (max=0),Time offset in hour (decimal)
HydrometricSites,DrainageArea_km2,Double (min=0) (max=1000000),Drainage area in square kilometers
HydrometricSites,IsNatural,Boolean,Regulartion type
HydrometricSites,IsActive,Boolean,Is currently active
HydrometricSites,Sediment,Boolean,Sediment data available
HydrometricSites,RHBN,Boolean,Reference hydrometric based network
HydrometricSites,RealTime,Boolean,Real-time data available
HydrometricSites,HasDischarge,Boolean,Measure discharges
HydrometricSites,HasLevel,Boolean,Measure levels
HydrometricSites,HasRatingCurve,Boolean,Rating curve
HydrometricSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
HydrometricSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Infrastructures,,,The Infrastructures table contains fields for holding all related information for municipal infrastructures. Both WWTP and LS related information are stored in the same table.
Infrastructures,InfrastructureID,Int32 (key),Contains the unique identifier on each row of the Infrastructures table
Infrastructures,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Infrastructures,InfrastructureTVItemID,Int32,Link to the TVItems table with the unique identifier
Infrastructures,PrismID,Int32 (min=0) (max=100000),Link to the QC Prism DB with the unique identifier
Infrastructures,TPID,Int32 (min=0) (max=100000),Treatment plan unique ID comming from old DB
Infrastructures,LSID,Int32 (min=0) (max=100000),Lift station unique ID comming from old DB
Infrastructures,SiteID,Int32 (min=0) (max=100000),Site unique ID comming from old DB
Infrastructures,Site,Int32 (min=0) (max=100000),Site unique ID comming from old DB
Infrastructures,InfrastructureCategory,String (min=1) (max=1),Category --- letter used previously to identify priority in waste water treatment plant assessments
Infrastructures,InfrastructureType,InfrastructureTypeEnum (int),Infrastructure type
Infrastructures,FacilityType,FacilityTypeEnum (int),Facility type --- Lagoon, Plant
Infrastructures,HasBackupPower,Boolean,Has backup power
Infrastructures,IsMechanicallyAerated,Boolean,Is mechanically aerated
Infrastructures,NumberOfCells,Int32 (min=0) (max=10),Number of cells
Infrastructures,NumberOfAeratedCells,Int32 (min=0) (max=10),Number of aerated cells
Infrastructures,AerationType,AerationTypeEnum (int),Aeration type --- Diffuser, Surface
Infrastructures,PreliminaryTreatmentType,PreliminaryTreatmentTypeEnum (int),Preliminary treatment type --- Bar screen, Grinder
Infrastructures,PrimaryTreatmentType,PrimaryTreatmentTypeEnum (int),Primary treatment type --- Sedimentation, Chemical Coagulation, Filtration
Infrastructures,SecondaryTreatmentType,SecondaryTreatmentTypeEnum (int),Secondary treatment type --- RotatingBiologicalContactor, TricklingFilters, SequencingBatchReator, OxidationDitch
Infrastructures,TertiaryTreatmentType,TertiaryTreatmentTypeEnum (int),Tertiary treatment type --- Adsorption, Flocculation, Membrane Filtration, Ion Exchange, Reverse Osmosis, Biological Nutrient Removal
Infrastructures,TreatmentType,TreatmentTypeEnum (int),Treatment type --- ActivatedSludge, Activated Sludge With Biofilter, Lagoon No Aeration1 Cell, Lagoon No Aeration 2 Cell, Lagoon No Aeration 3 Cell, Lagoon No Aeration 4 Cell, Lagoon No Aeration 5 Cell, Lagoon With Aeration 1 Cell, LagoonWith Aeration 2 Cell, LagoonWith Aeration 3 Cell, LagoonWith Aeration 4 Cell, LagoonWith Aeration 5 Cell, LagoonWith Aeration 6 Cell, Stabalizing Pond Only, Oxidation Ditch Only, Circulating Fluidized Bed, Trickling Filter, Recirculating Sand Filter, Trash Rack Rake Only, Septic Tank, Secondary, Tertiary, Volume Fermenter, Bio Film Reactor, Bio Green, Bio Disks, Chemical Primary, Chromoglass, Primary, Sequencing Batch Reactor, Peat System, Physicochimique, Rotating Biological Contactor
Infrastructures,DisinfectionType,DisinfectionTypeEnum (int),Disinfection type --- UV, Chlorination No Dechlorination, Chlorination With Dechlorination, UV Seasonal, Chlorination No Dechlorination Seasonal, Chlorination With Dechlorination Seasonal
Infrastructures,CollectionSystemType,CollectionSystemTypeEnum (int),Collection system type --- Completely Separated, Completely Combined, Combined 90 Separated 10, Combined 80 Separated 20, Combined 70 Separated 30, Combined 60 Separated 40, Combined 50 Separated 50, Combined 40 Separated 60, Combined 30 Separated 70, Combined 20 Separated 80, Combined 10 Separated 90
Infrastructures,AlarmSystemType,AlarmSystemTypeEnum (int),Alarm system type --- SCADA, None, Only Visual Light,SCADA And Light, Pager And Light
Infrastructures,DesignFlow_m3_day,Double (min=0) (max=1000000),Design flow in cubic meters per day
Infrastructures,AverageFlow_m3_day,Double (min=0) (max=1000000),Average flow in cubic meters per day
Infrastructures,PeakFlow_m3_day,Double (min=0) (max=1000000),Peak flow in cubic meters per day
Infrastructures,PopServed,Int32 (min=0) (max=1000000),Population served
Infrastructures,CanOverflow,Boolean,Can overflow
Infrastructures,ValveType,ValveTypeEnum (int),Valve type --- Manually, Automatically
Infrastructures,PercFlowOfTotal,Double (min=0) (max=100),Percentage of total flow
Infrastructures,TimeOffset_hour,Double (min=-10) (max=0),Time offset in hour (decimal)
Infrastructures,TempCatchAllRemoveLater,String,Temporary catch all will be removed later
Infrastructures,AverageDepth_m,Double (min=0) (max=1000),Average depth in meters
Infrastructures,NumberOfPorts,Int32 (min=1) (max=1000),Number of ports
Infrastructures,PortDiameter_m,Double (min=0) (max=10),Ports diameter in meters
Infrastructures,PortSpacing_m,Double (min=0) (max=10000),Ports spacing in meters
Infrastructures,PortElevation_m,Double (min=0) (max=1000),Ports elevation in meters
Infrastructures,VerticalAngle_deg,Double (min=-90) (max=90),Vertical angle in degrees
Infrastructures,HorizontalAngle_deg,Double (min=-180) (max=180),Horizontal angle in degrees
Infrastructures,DecayRate_per_day,Double (min=0) (max=100),Decay rate per day
Infrastructures,NearFieldVelocity_m_s,Double (min=0) (max=10),Near field velocity in meters per second
Infrastructures,FarFieldVelocity_m_s,Double (min=0) (max=10),Far field velocity in meters per second
Infrastructures,ReceivingWaterSalinity_PSU,Double (min=0) (max=40),Receiving water salinity in PSU
Infrastructures,ReceivingWaterTemperature_C,Double (min=-10) (max=40),Receiving water temperature in degree Celcius
Infrastructures,ReceivingWater_MPN_per_100ml,Int32 (min=0) (max=10000000),Receiving water concentration in most probable number per 100 mL
Infrastructures,DistanceFromShore_m,Double (min=0) (max=1000),Distance from shore in meters
Infrastructures,SeeOtherMunicipalityTVItemID,Int32,See other infrastructure
Infrastructures,CivicAddressTVItemID,Int32,Link to the TVItems table with the unique identifier
Infrastructures,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Infrastructures,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
InfrastructureLanguages,,,The InfrastructureLanguages table contains fields for holding bilingual texts for the infrastructure table.
InfrastructureLanguages,InfrastructureLanguageID,Int32 (key),Contains the unique identifier on each row of the InfrastructureLanguages table
InfrastructureLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
InfrastructureLanguages,InfrastructureID,Int32,Link to the Infrastructure table representing the infrastructure
InfrastructureLanguages,Language,LanguageEnum (int),Language of item
InfrastructureLanguages,Comment,String,Comment
InfrastructureLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of the comment
InfrastructureLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
InfrastructureLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
LabSheets,,,The LabSheets table contains fields for storing and managing lab sheets.
LabSheets,LabSheetID,Int32 (key),Contains the unique identifier on each row of the LabSheets table
LabSheets,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
LabSheets,OtherServerLabSheetID,Int32 (min=1),Other server lab sheet ID
LabSheets,SamplingPlanID,Int32,Link to the SamplingPlan table representing the sampling plan
LabSheets,SamplingPlanName,String (min=1) (max=250),Sampling plan name
LabSheets,Year,Int32 (min=1980),Year of run
LabSheets,Month,Int32 (min=1) (max=12),Month of run
LabSheets,Day,Int32 (min=1) (max=31),Day of run
LabSheets,RunNumber,Int32 (min=1) (max=100),Run number
LabSheets,SubsectorTVItemID,Int32,Link to the TVItems table with the unique identifier
LabSheets,MWQMRunTVItemID,Int32,Link to the TVItems table with the unique identifier
LabSheets,SamplingPlanType,SamplingPlanTypeEnum (int),Sampling plan type
LabSheets,SampleType,SampleTypeEnum (int),Sample type
LabSheets,LabSheetType,LabSheetTypeEnum (int),Lab sheet type
LabSheets,LabSheetStatus,LabSheetStatusEnum (int),Lab sheet statue
LabSheets,FileName,String (min=1) (max=250),File name
LabSheets,FileLastModifiedDate_Local,DateTime,File last modified date (local)
LabSheets,FileContent,String,File content
LabSheets,AcceptedOrRejectedByContactTVItemID,Int32,Accepted or rejected by Contact TVItemID
LabSheets,AcceptedOrRejectedDateTime,DateTime,Accepted or rejected date (local)
LabSheets,RejectReason,String (max=250),Reject reason
LabSheets,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
LabSheets,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
LabSheetDetails,,,The LabSheetDetails table contains fields for holding lab sheet detail related information.
LabSheetDetails,LabSheetDetailID,Int32 (key),Contains the unique identifier on each row of the LabSheetDetails table
LabSheetDetails,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
LabSheetDetails,LabSheetID,Int32,Link to the LabSheets table representing the lab sheet
LabSheetDetails,SamplingPlanID,Int32,Link to the SamplingPlan table representing the sampling plan
LabSheetDetails,SubsectorTVItemID,Int32,Link to the TVItem table representing the subsector
LabSheetDetails,Version,Int32 (min=1) (max=5),Version of the document (lab sheet)
LabSheetDetails,RunDate,DateTime,Run date
LabSheetDetails,Tides,String (min=1) (max=7),Tide sites ID
LabSheetDetails,SampleCrewInitials,String (max=20),Sample crew initials
LabSheetDetails,WaterBathCount,Int32 (min=1) (max=3),Water bath count
LabSheetDetails,IncubationBath1StartTime,DateTime,Incubation bath 1 start time
LabSheetDetails,IncubationBath2StartTime,DateTime,Incubation bath 2 start time
LabSheetDetails,IncubationBath3StartTime,DateTime,Incubation bath 3 start time
LabSheetDetails,IncubationBath1EndTime,DateTime,Incubation bath 1 end time
LabSheetDetails,IncubationBath2EndTime,DateTime,Incubation bath 2 end time
LabSheetDetails,IncubationBath3EndTime,DateTime,Incubation bath 3 end time
LabSheetDetails,IncubationBath1TimeCalculated_minutes,Int32 (min=0) (max=10000),Incubation bath 1 time calculated (min)
LabSheetDetails,IncubationBath2TimeCalculated_minutes,Int32 (min=0) (max=10000),Incubation bath 2 time calculated (min)
LabSheetDetails,IncubationBath3TimeCalculated_minutes,Int32 (min=0) (max=10000),Incubation bath 3 time calculated (min)
LabSheetDetails,WaterBath1,String (max=10),Water bath 1
LabSheetDetails,WaterBath2,String (max=10),Water bath 2
LabSheetDetails,WaterBath3,String (max=10),Water bath 3
LabSheetDetails,TCField1,Double (min=-10) (max=40),Temperature control 1
LabSheetDetails,TCLab1,Double (min=-10) (max=40),Temperature control lab 1
LabSheetDetails,TCField2,Double (min=-10) (max=40),Temperature control 2
LabSheetDetails,TCLab2,Double (min=-10) (max=40),Temperature control lab 2
LabSheetDetails,TCFirst,Double (min=-10) (max=40),First temperature control
LabSheetDetails,TCAverage,Double (min=-10) (max=40),Average temperature control
LabSheetDetails,ControlLot,String (max=100),Control lot
LabSheetDetails,Positive35,String (min=1) (max=1),Positive 35 (°C)
LabSheetDetails,NonTarget35,String (min=1) (max=1),Non target 35 (°C)
LabSheetDetails,Negative35,String (min=1) (max=1),Negative 35 (°C)
LabSheetDetails,Bath1Positive44_5,String (min=1) (max=1),Bath 1 positive 44.5 (°C)
LabSheetDetails,Bath2Positive44_5,String (min=1) (max=1),Bath 2 positive 44.5 (°C)
LabSheetDetails,Bath3Positive44_5,String (min=1) (max=1),Bath 3 positive 44.5 (°C)
LabSheetDetails,Bath1NonTarget44_5,String (min=1) (max=1),Bath 1 non target 44.5 (°C)
LabSheetDetails,Bath2NonTarget44_5,String (min=1) (max=1),Bath 2 non target 44.5 (°C)
LabSheetDetails,Bath3NonTarget44_5,String (min=1) (max=1),Bath 3 non target 44.5 (°C)
LabSheetDetails,Bath1Negative44_5,String (min=1) (max=1),Bath 1 negative 44.5 (°C)
LabSheetDetails,Bath2Negative44_5,String (min=1) (max=1),Bath 2 negative 44.5 (°C)
LabSheetDetails,Bath3Negative44_5,String (min=1) (max=1),Bath 3 negative 44.5 (°C)
LabSheetDetails,Blank35,String (min=1) (max=1),Blank 35 (°C)
LabSheetDetails,Bath1Blank44_5,String (min=1) (max=1),Bath 1 blank 44.5 (°C)
LabSheetDetails,Bath2Blank44_5,String (min=1) (max=1),Bath 2 blank 44.5 (°C)
LabSheetDetails,Bath3Blank44_5,String (min=1) (max=1),Bath 3 blank 44.5 (°C)
LabSheetDetails,Lot35,String (max=20),Lot 35 (°C)
LabSheetDetails,Lot44_5,String (max=20),Lot 44.5 (°C)
LabSheetDetails,Weather,String (max=250),Weather
LabSheetDetails,RunComment,String (max=250),Run comment
LabSheetDetails,RunWeatherComment,String (max=250),Run weather comment
LabSheetDetails,SampleBottleLotNumber,String (max=20),Sample bottle lot number
LabSheetDetails,SalinitiesReadBy,String (max=20),Salinity read by
LabSheetDetails,SalinitiesReadDate,DateTime,Salinity read date
LabSheetDetails,ResultsReadBy,String (max=20),Results read by
LabSheetDetails,ResultsReadDate,DateTime,Results read date
LabSheetDetails,ResultsRecordedBy,String (max=20),Results recorded by
LabSheetDetails,ResultsRecordedDate,DateTime,Results recorded date
LabSheetDetails,DailyDuplicateRLog,Double (min=0) (max=100),Daily duplicate R log
LabSheetDetails,DailyDuplicatePrecisionCriteria,Double (min=0) (max=100),Daily duplicate precision criteria
LabSheetDetails,DailyDuplicateAcceptable,Boolean,Daily duplicate is acceptable
LabSheetDetails,IntertechDuplicateRLog,Double (min=0) (max=100),Intertech duplicate R log
LabSheetDetails,IntertechDuplicatePrecisionCriteria,Double (min=0) (max=100),Intertech duplicate precision criteria
LabSheetDetails,IntertechDuplicateAcceptable,Boolean,Intertech duplicate is acceptable
LabSheetDetails,IntertechReadAcceptable,Boolean,Intertech read is acceptable
LabSheetDetails,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
LabSheetDetails,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
LabSheetTubeMPNDetails,,,The LabSheetTubeMPNDetails table contains fields for holding lab tube information.
LabSheetTubeMPNDetails,LabSheetTubeMPNDetailID,Int32 (key),Contains the unique identifier on each row of the LabSheetTubeMPNDetails table
LabSheetTubeMPNDetails,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
LabSheetTubeMPNDetails,LabSheetDetailID,Int32,Link to the LabSheetDetails table representing the lab sheet detail
LabSheetTubeMPNDetails,Ordinal,Int32 (min=0) (max=1000),Ordinal
LabSheetTubeMPNDetails,MWQMSiteTVItemID,Int32,Link to the TVItems table representing the MWQM site
LabSheetTubeMPNDetails,SampleDateTime,DateTime,Sample date
LabSheetTubeMPNDetails,MPN,Int32 (min=1) (max=10000000),Most probable number of fecal coliform colonies per 100 mL
LabSheetTubeMPNDetails,Tube10,Int32 (min=0) (max=5),Number of positive tube for Tube 10
LabSheetTubeMPNDetails,Tube1_0,Int32 (min=0) (max=5),Number of positive tube for Tube 1
LabSheetTubeMPNDetails,Tube0_1,Int32 (min=0) (max=5),Number of positive tube for Tube .1
LabSheetTubeMPNDetails,Salinity,Double (min=0) (max=40),Salinity in parts per thousand
LabSheetTubeMPNDetails,Temperature,Double (min=-10) (max=40),Temperature in degree Celcius
LabSheetTubeMPNDetails,ProcessedBy,String (max=10),Processed by
LabSheetTubeMPNDetails,SampleType,SampleTypeEnum (int),Sample type
LabSheetTubeMPNDetails,SiteComment,String (max=250),Site comment
LabSheetTubeMPNDetails,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
LabSheetTubeMPNDetails,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Logs,,,The Logs table is used to hold a history of the users commands to the database.
Logs,LogID,Int32 (key),Contains the unique identifier on each row of the Logs table
Logs,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Logs,TableName,String (max=50),Table name
Logs,ID,Int32 (min=1),Key of table
Logs,LogCommand,LogCommandEnum (int),Log command
Logs,Information,String,Information describing the log command
Logs,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Logs,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MapInfos,,,The MapInfos table contains fields for holding mapping related information for all objects in the database.
MapInfos,MapInfoID,Int32 (key),Contains the unique identifier on each row of the MapInfos table
MapInfos,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MapInfos,TVItemID,Int32,Link to the TVItems table representing the item
MapInfos,TVType,TVTypeEnum (int),Tree view type
MapInfos,LatMin,Double (min=-90) (max=90),Latitude minimum
MapInfos,LatMax,Double (min=-90) (max=90),Latitude maximum
MapInfos,LngMin,Double (min=-180) (max=180),Longitude minimum
MapInfos,LngMax,Double (min=-180) (max=180),Longitude maximum
MapInfos,MapInfoDrawType,MapInfoDrawTypeEnum (int),Map object draw type
MapInfos,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MapInfos,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MapInfoPoints,,,The MapInfoPoints table contains fields for holding mapping coordinates related information.
MapInfoPoints,MapInfoPointID,Int32 (key),Contains the unique identifier on each row of the MapInfoPoints table
MapInfoPoints,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MapInfoPoints,MapInfoID,Int32,Link to the MapInfos table representing the map information
MapInfoPoints,Ordinal,Int32 (min=0),Ordinal
MapInfoPoints,Lat,Double (min=-90) (max=90),Latitude
MapInfoPoints,Lng,Double (min=-180) (max=180),Longitude
MapInfoPoints,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MapInfoPoints,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MikeBoundaryConditions,,,The MikeBoundaryConditions table contains fields for holding MIKE boundary condition related information.
MikeBoundaryConditions,MikeBoundaryConditionID,Int32 (key),Contains the unique identifier on each row of the MikeBoundaryConditions table
MikeBoundaryConditions,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MikeBoundaryConditions,MikeBoundaryConditionTVItemID,Int32,Link to the TVItems table representing the MIKE boundary condition
MikeBoundaryConditions,MikeBoundaryConditionCode,String (max=100),MIKE boundary contidition code
MikeBoundaryConditions,MikeBoundaryConditionName,String (max=100),MIKE boundary contidition name
MikeBoundaryConditions,MikeBoundaryConditionLength_m,Double (min=1) (max=100000),MIKE boundary contidition length in meters
MikeBoundaryConditions,MikeBoundaryConditionFormat,String (max=100),MIKE boundary contidition format
MikeBoundaryConditions,MikeBoundaryConditionLevelOrVelocity,MikeBoundaryConditionLevelOrVelocityEnum (int),MIKE boundary contidition level or velocity
MikeBoundaryConditions,WebTideDataSet,WebTideDataSetEnum (int),Web tide data set
MikeBoundaryConditions,NumberOfWebTideNodes,Int32 (min=0) (max=1000),Number of web tide node
MikeBoundaryConditions,WebTideDataFromStartToEndDate,String,Web tide data between dates
MikeBoundaryConditions,TVType,TVTypeEnum (int),Tree view type
MikeBoundaryConditions,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MikeBoundaryConditions,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MikeScenarios,,,The MikeScenarios table contains fields for holding and managing MIKE scenarios.
MikeScenarios,MikeScenarioID,Int32 (key),Contains the unique identifier on each row of the MikeScenarios table
MikeScenarios,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MikeScenarios,MikeScenarioTVItemID,Int32,Link to the TVItems table representing MIKE scenario
MikeScenarios,ParentMikeScenarioID,Int32,Link to the MikeScenarios table representing MIKE scenario
MikeScenarios,ScenarioStatus,ScenarioStatusEnum (int),MIKE scenario status
MikeScenarios,ErrorInfo,String,MIKE scenario error information
MikeScenarios,MikeScenarioStartDateTime_Local,DateTime,MIKE scenario start date in local time
MikeScenarios,MikeScenarioEndDateTime_Local,DateTime,MIKE scenario end date in local time
MikeScenarios,MikeScenarioStartExecutionDateTime_Local,DateTime,MIKE scenario start excecution time (local)
MikeScenarios,MikeScenarioExecutionTime_min,Double (min=1) (max=100000),MIKE scenario excecution time in minutes
MikeScenarios,WindSpeed_km_h,Double (min=0) (max=100),Wind speed in kilometers per hour)
MikeScenarios,WindDirection_deg,Double (min=0) (max=360),Wind direction in degree (north 0, east 90)
MikeScenarios,DecayFactor_per_day,Double (min=0) (max=100),Decay factor per day
MikeScenarios,DecayIsConstant,Boolean,Decay factor is constant
MikeScenarios,DecayFactorAmplitude,Double (min=0) (max=100),Decay factor amplitude
MikeScenarios,ResultFrequency_min,Int32 (min=0) (max=100),Results frequency in minutes
MikeScenarios,AmbientTemperature_C,Double (min=-10) (max=40),Ambient temperature in degree Celcius
MikeScenarios,AmbientSalinity_PSU,Double (min=0) (max=40),Ambient salinity in PSU
MikeScenarios,GenerateDecouplingFiles,Boolean,Generate decoupling files
MikeScenarios,UseDecouplingFiles,Boolean,Use decoupling files
MikeScenarios,UseSalinityAndTemperatureInitialConditionFromTVFileTVItemID,Int32,Link to the TVItems table representing TV file
MikeScenarios,ForSimulatingMWQMRunTVItemID,Int32,Link to the TVItems table representing MWQM run
MikeScenarios,ManningNumber,Double (min=0) (max=100),Mannning number
MikeScenarios,NumberOfElements,Int32 (min=1) (max=1000000),Number of elements
MikeScenarios,NumberOfTimeSteps,Int32 (min=1) (max=1000000),Number of time steps
MikeScenarios,NumberOfSigmaLayers,Int32 (min=0) (max=100),Number of sigma layers
MikeScenarios,NumberOfZLayers,Int32 (min=0) (max=100),Number of Z layers
MikeScenarios,NumberOfHydroOutputParameters,Int32 (min=0) (max=100),Number of hydrodynamic output parameters
MikeScenarios,NumberOfTransOutputParameters,Int32 (min=0) (max=100),Number of transport output parameters
MikeScenarios,EstimatedHydroFileSize,Int64 (min=0) (max=100000000),Estimated hydrodynamic file size
MikeScenarios,EstimatedTransFileSize,Int64 (min=0) (max=100000000),Estimated transport file size
MikeScenarios,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MikeScenarios,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MikeScenarioResults,,,The MikeScenarioResults table contains fields for holding a portion of the MIKE scenario results. Limited use at this time. Don’t know if this table will be kept in the future. Currently all MIKE scenario results are stored in files.
MikeScenarioResults,MikeScenarioResultID,Int32 (key),Contains the unique identifier on each row of the MikeScenarioResults table
MikeScenarioResults,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MikeScenarioResults,MikeScenarioTVItemID,Int32,Link to the TVItems table representing MIKE scenario
MikeScenarioResults,MikeResultsJSON,String,MIKE scenario results in JSON format
MikeScenarioResults,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MikeScenarioResults,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MikeSources,,,The MikeSources table contains fields for holding and managing MIKE sources which could be rivers, streams, brooks or other pollution sources.
MikeSources,MikeSourceID,Int32 (key),Contains the unique identifier on each row of the MikeSources table
MikeSources,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MikeSources,MikeSourceTVItemID,Int32,Link to the TVItems table representing MIKE source
MikeSources,IsContinuous,Boolean,Source is continuous
MikeSources,Include,Boolean,Source is included
MikeSources,IsRiver,Boolean,Source is a river
MikeSources,UseHydrometric,Boolean,Source should use hydrometric site with factor for discharge
MikeSources,HydrometricTVItemID,Int32,Link to the TVItems table representing hydrometric site
MikeSources,DrainageArea_km2,Double (min=0) (max=1000000),Drainage area in square kilometers
MikeSources,Factor,Double (min=0) (max=1000000),Factor
MikeSources,SourceNumberString,String (max=50),Source number
MikeSources,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MikeSources,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MikeSourceStartEnds,,,The MikeSourceStartEnds table contains fields for non continuous spills.
MikeSourceStartEnds,MikeSourceStartEndID,Int32 (key),Contains the unique identifier on each row of the MikeSourceStartEnds table
MikeSourceStartEnds,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MikeSourceStartEnds,MikeSourceID,Int32,Link to the MikeSources table representing MIKE source
MikeSourceStartEnds,StartDateAndTime_Local,DateTime,Start date and time (local)
MikeSourceStartEnds,EndDateAndTime_Local,DateTime,End date and time (local)
MikeSourceStartEnds,SourceFlowStart_m3_day,Double (min=0) (max=1000000),Start of source flow in cubic meters per day
MikeSourceStartEnds,SourceFlowEnd_m3_day,Double (min=0) (max=1000000),End of source flow in cubic meters per day
MikeSourceStartEnds,SourcePollutionStart_MPN_100ml,Int32 (min=0) (max=10000000),Start of source concentration in most probable number of fecal coliform colonies per 100 milli-Litres
MikeSourceStartEnds,SourcePollutionEnd_MPN_100ml,Int32 (min=0) (max=10000000),End of source concentration in most probable number of fecal coliform colonies per 100 milli-Litres
MikeSourceStartEnds,SourceTemperatureStart_C,Double (min=-10) (max=40),Start of source temperature in degree Celcius
MikeSourceStartEnds,SourceTemperatureEnd_C,Double (min=-10) (max=40),End of source temperature in degree Celcius
MikeSourceStartEnds,SourceSalinityStart_PSU,Double (min=0) (max=40),Start of source salinity (PSU)
MikeSourceStartEnds,SourceSalinityEnd_PSU,Double (min=0) (max=40),End of source salinity (PSU)
MikeSourceStartEnds,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
MikeSourceStartEnds,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
MWQMAnalysisReportParameters,,,The MWQMAnalysisReportParameters table contains fields for managing analysis report parameters.
MWQMAnalysisReportParameters,MWQMAnalysisReportParameterID,Int32 (key),Contains the unique identifier on each row of the MWQMAnalysisReportParameters table
MWQMAnalysisReportParameters,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
MWQMAnalysisReportParameters,SubsectorTVItemID,Int32,Link to the TVItems table representing subsector
MWQMAnalysisReportParameters,AnalysisName,String (min=5) (max=250),Analysis name
MWQMAnalysisReportParameters,AnalysisReportYear,Int32 (min=1980) (max=2050),Analysis report year
MWQMAnalysisReportParameters,StartDate,DateTime,Start date
MWQMAnalysisReportParameters,EndDate,DateTime,End date
MWQMAnalysisReportParameters,AnalysisCalculationType,AnalysisCalculationTypeEnum (int),Analysis calculation type
MWQMAnalysisReportParameters,NumberOfRuns,Int32 (min=1) (max=1000),Number of run
MWQMAnalysisReportParameters,FullYear,Boolean,Full year
MWQMAnalysisReportParameters,SalinityHighlightDeviationFromAverage,Double (min=1) (max=20),Salinity hyghlight deviation from average
MWQMAnalysisReportParameters,ShortRangeNumberOfDays,Int32 (min=0) (max=5),Short range number of days
MWQMAnalysisReportParameters,MidRangeNumberOfDays,Int32 (min=2) (max=7),Mid range number of days
MWQMAnalysisReportParameters,DryLimit24h,Int32 (min=1) (max=100),Dry limit 24h
MWQMAnalysisReportParameters,DryLimit48h,Int32 (min=1) (max=100),Dry limit 48h
MWQMAnalysisReportParameters,DryLimit72h,Int32 (min=1) (max=100),Dry limit 72h
MWQMAnalysisReportParameters,DryLimit96h,Int32 (min=1) (max=100),Dry limit 96h
MWQMAnalysisReportParameters,WetLimit24h,Int32 (min=1) (max=100),Wet limit 24h
MWQMAnalysisReportParameters,WetLimit48h,Int32 (min=1) (max=100),Wet limit 48h
MWQMAnalysisReportParameters,WetLimit72h,Int32 (min=1) (max=100),Wet limit 72h
